league,summy
Austrian T-Mobile Bundesliga,0.4482989547321837
Barclays Premier League,4.395840073109534
Belgian Jupiler League,0.3949540018432132
Danish SAS-Ligaen,0.12448950911265973
Dutch Eredivisie,1.586835070732778
English League Championship,0.04520975411002939
French Ligue 1,1.3959570247023922
German Bundesliga,3.6198570895876006
Greek Super League,0.056577855982783205
Italy Serie A,3.517437582433261
Portuguese Liga,1.3356767755677041
Russian Premier Liga,0.795109795006746
Scottish Premiership,0.4844506224082074
Spanish Primera Division,2.865075884375267
Swedish Allsvenskan,0.03454139086509125
Swiss Raiffeisen Super League,0.657037324469103
Turkish Turkcell Super Lig,0.7541074858513366
UEFA Champions League,0.5661918904083137
UEFA Europa Conference League,0.22924240610183616
UEFA Europa League,0.6271374006266781
